date,Close,High,Low,Open,Vol
2011/4/12,3021.369,3039.124,3003.445,3012.795,145990547
2011/4/13,3050.398,3050.401,2994.465,3006.83,128202655
2011/4/14,3042.635,3058.239,3036.726,3049.667,129487107
2011/4/15,3050.526,3062.53,3020.156,3036.345,128530989
2011/4/18,3057.329,3067.456,3037.189,3040.531,137488739
2011/4/19,2999.041,3038.807,2996.222,3038.807,141896394
2011/4/20,3007.037,3019.123,2992.672,3005.975,119741657
2011/4/21,3026.668,3035.471,3012.544,3021.77,121510664
2011/4/22,3010.517,3032.965,3004.465,3025.699,118525613
2011/4/25,2964.951,3003.61,2964.643,3003.031,117316622
2011/4/26,2938.981,2970.278,2931.502,2956.949,95154819
2011/4/27,2925.408,2961.133,2907.662,2946.327,105492475
2011/4/28,2887.044,2953.193,2884.839,2937.947,105230875
2011/4/29,2911.511,2913.556,2871.01,2886.629,87534255
2011/5/3,2932.188,2933.46,2890.225,2911.51,96402722
2011/5/4,2866.017,2916.97,2860.075,2916.845,111481131
2011/5/5,2872.404,2880.125,2849.91,2854.768,91084427
2011/5/6,2863.886,2881.706,2834.456,2842.765,91063909
2011/5/9,2872.46,2885.178,2861.42,2868.235,81576155
2011/5/10,2890.634,2891.034,2865.104,2876.98,81297176
2011/5/11,2883.42,2897.141,2868.349,2890.353,92477122
2011/5/12,2844.083,2876.448,2843.097,2864.976,100240961
2011/5/13,2871.031,2871.992,2832.254,2846.311,93238815
2011/5/16,2849.067,2877.091,2846.307,2864.377,84648251
2011/5/17,2852.773,2869.23,2821.203,2846.447,94819847
2011/5/18,2872.771,2877.427,2843.676,2846.725,76826970
2011/5/19,2859.574,2884.141,2856.829,2879.387,76994538
2011/5/20,2858.459,2866.763,2850.445,2858.311,70743786
2011/5/23,2774.569,2853.286,2771.117,2853.286,98622045
2011/5/24,2767.056,2771.748,2744.777,2766.059,74852898
2011/5/25,2741.741,2771.177,2737.33,2764.56,74406534
2011/5/26,2736.527,2764.89,2734.536,2755.394,78741315
2011/5/27,2709.947,2746.842,2708.548,2739.387,82521052
2011/5/30,2706.361,2728.062,2689.206,2704.485,65174388
2011/5/31,2743.472,2744.934,2702.095,2707.559,67900383
2011/6/1,2743.572,2744.559,2726.495,2737.057,68555501
2011/6/2,2705.181,2727.995,2676.538,2715.316,86021158
2011/6/3,2728.02,2732.427,2701.25,2701.773,67983945
2011/6/7,2744.3,2745.77,2717.313,2720.97,65021293
2011/6/8,2750.288,2754.122,2715.25,2742.043,74294661
2011/6/9,2703.345,2747.332,2702.695,2743.539,83469268
2011/6/10,2705.143,2707.742,2672.32,2696.13,73400294
2011/6/13,2700.379,2703.423,2669.395,2687.653,63069459
2011/6/14,2730.04,2735.553,2691.671,2696.223,83097514
2011/6/15,2705.431,2730.476,2705.072,2717.677,74856945
2011/6/16,2664.283,2691.944,2663.12,2685.632,70927870
2011/6/17,2642.818,2675.027,2641.392,2661.414,64442633
2011/6/20,2621.253,2637.883,2610.99,2635.834,60059864
2011/6/21,2646.483,2648.024,2618.807,2628.022,64821871
2011/6/22,2649.321,2657.725,2633.474,2648.534,58313802
2011/6/23,2688.249,2693.417,2630.336,2640.66,73772688
2011/6/24,2746.211,2759.71,2674.303,2678.052,125773628
2011/6/27,2758.23,2769.043,2743.496,2746.787,101601018
2011/6/28,2759.202,2763.28,2736.398,2759.713,88277450
2011/6/29,2728.483,2759.231,2727.253,2757.4,88224197
2011/6/30,2762.076,2774.365,2729.992,2729.992,90967124
2011/7/1,2759.362,2778.668,2752.966,2767.834,92072878
2011/7/4,2812.818,2813.27,2770.94,2770.94,121962260
2011/7/5,2816.355,2818.141,2799.11,2812.722,110124224
2011/7/6,2810.479,2811.815,2780.728,2811.815,103104393
2011/7/7,2794.267,2825.123,2793.892,2813.193,116512143
2011/7/8,2797.774,2807.38,2784.126,2797.026,86211609
2011/7/11,2802.692,2807.322,2780.665,2789.454,86063595
2011/7/12,2754.582,2783.722,2752.186,2783.722,96674475
2011/7/13,2795.476,2797.266,2756.032,2756.032,91929128
2011/7/14,2810.444,2811.704,2788.983,2798.212,104502080
2011/7/15,2820.169,2821.339,2794.159,2803.585,107470064
2011/7/18,2816.688,2826.959,2807.108,2821.358,108108623
2011/7/19,2796.983,2809.315,2790.685,2804.923,92740884
2011/7/20,2794.205,2817.285,2779.381,2810.436,84030616
2011/7/21,2765.894,2799.852,2763.418,2795.896,81760582
2011/7/22,2770.79,2782.169,2763.8,2769.863,70211837
2011/7/25,2688.746,2759.628,2680.747,2759.628,111242249
2011/7/26,2703.026,2704.939,2677.119,2685.754,72881454
2011/7/27,2723.492,2726.801,2680.433,2690.144,80407781
2011/7/28,2708.777,2712.09,2684.661,2701.771,78474915
2011/7/29,2701.729,2721.53,2681.272,2706.497,75471655
2011/8/1,2703.783,2712.888,2688.529,2697.575,59000711
2011/8/2,2679.259,2689.971,2651.28,2689.971,69993181
2011/8/3,2678.485,2688.065,2654.364,2659.118,63981610
2011/8/4,2684.039,2698.815,2675.534,2683.192,58872111
2011/8/5,2626.423,2644.581,2605.137,2620.277,78571833
2011/8/8,2526.816,2614.19,2497.918,2599.289,110302496
2011/8/9,2526.07,2537.409,2437.681,2468.032,103723892
2011/8/10,2549.176,2579.156,2544.952,2562.393,100369343
2011/8/11,2581.508,2582.155,2505.012,2508.857,95597265
2011/8/12,2593.173,2605.447,2585.846,2593.395,97171206
2011/8/15,2626.77,2627.104,2584.407,2598.138,88676842
2011/8/16,2608.166,2636.36,2601.501,2627.854,85226861
2011/8/17,2601.261,2617.165,2596.039,2603.961,70109146
2011/8/18,2559.472,2603.485,2556.859,2601.99,70989277
2011/8/19,2534.358,2538.272,2513.754,2519.645,70606801
2011/8/22,2515.863,2553.415,2507.782,2534.57,61214429
2011/8/23,2554.019,2554.178,2514.949,2524.877,60944193
2011/8/24,2541.091,2569.278,2536.256,2562.411,65462469
2011/8/25,2615.261,2616.304,2545.054,2546.402,104537978
2011/8/26,2612.188,2616.636,2593.238,2602.208,77850450
2011/8/29,2576.413,2595.466,2570.844,2595.466,73696095
2011/8/30,2566.595,2615.135,2563.689,2592.597,75910686
2011/8/31,2567.34,2574.415,2545.096,2566.529,59169720
2011/9/1,2556.042,2584.804,2547.855,2569.799,57290927
2011/9/2,2528.28,2557.31,2517.618,2551.556,54436581
2011/9/5,2478.739,2510.1,2478.195,2510.1,55031066
2011/9/6,2470.524,2482.242,2459.543,2465.565,49223173
2011/9/7,2516.09,2516.754,2475.218,2480.941,59665860
2011/9/8,2498.943,2524.377,2498.113,2523.962,55271952
2011/9/9,2497.753,2528.422,2487.145,2506.969,51253380
2011/9/13,2471.305,2477.083,2453.796,2467.73,49930919
2011/9/14,2484.827,2485.934,2439.372,2478.586,54065977
2011/9/15,2479.055,2496.572,2477.651,2482.859,56003688
2011/9/16,2482.343,2499.481,2475.758,2490.177,47986854
2011/9/19,2437.795,2469.6,2437.165,2469.6,48746822
2011/9/20,2447.755,2460.034,2426.703,2433.721,46265892
2011/9/21,2512.963,2517.673,2438.852,2450.116,86689276
2011/9/22,2443.057,2499.976,2442.462,2491.212,74695409
2011/9/23,2433.159,2440.751,2400.141,2411.833,67302693
2011/9/26,2393.183,2441.729,2384.64,2416.226,57425042
2011/9/27,2415.054,2423.913,2395.164,2410.991,55231432
2011/9/28,2392.062,2430.27,2383.396,2427.289,55758447
2011/9/29,2365.343,2387.538,2358.572,2378.423,59191239
2011/9/30,2359.22,2377.541,2348.217,2368.398,48818372
2011/10/10,2344.787,2368.149,2338.685,2363.078,41745306
2011/10/11,2348.516,2412.376,2323.412,2401.738,63975806
2011/10/12,2420,2421.693,2318.628,2335.488,91508568
2011/10/13,2438.79,2439.64,2406.282,2412.832,87860106
2011/10/14,2431.375,2437.594,2409.288,2429.885,60673160
2011/10/17,2440.402,2452.99,2424.726,2434.486,58267682
2011/10/18,2383.485,2425.646,2378.667,2423.282,79525744
2011/10/19,2377.512,2401.688,2374.417,2387.831,58534637
2011/10/20,2331.366,2368.64,2315.9,2365.909,65425215
2011/10/21,2317.275,2340.315,2313.782,2330.512,48436725
2011/10/24,2370.333,2371.092,2307.146,2322.02,70874071
2011/10/25,2409.672,2414.049,2357.387,2366.398,90888876
2011/10/26,2427.48,2448.981,2394.733,2398.187,107447168
2011/10/27,2435.614,2449.701,2426.315,2432.473,82408961
2011/10/28,2473.41,2483.759,2456.177,2462.085,110032721
2011/10/31,2468.25,2478.307,2455.205,2470.254,84172562
2011/11/1,2470.019,2491.355,2445.527,2450.331,88892417
2011/11/2,2504.108,2505.121,2433.715,2437.87,105468200
2011/11/3,2508.09,2535.24,2507.297,2510.842,136576325
2011/11/4,2528.294,2536.779,2512.904,2525.244,101873675
2011/11/7,2509.799,2536.18,2507.615,2518.898,78867174
2011/11/8,2503.836,2524.82,2500.02,2514.259,78672656
2011/11/9,2524.919,2527.703,2489.025,2512.587,78208572
2011/11/10,2479.536,2507.452,2478.139,2498.594,87111088
2011/11/11,2481.084,2496.527,2472.761,2483.957,66137668
2011/11/14,2528.714,2529.632,2496.335,2498.672,81229812
2011/11/15,2529.761,2534.059,2518.703,2525.948,79227750
2011/11/16,2466.959,2529.458,2456.856,2529.073,93382109
2011/11/17,2463.046,2482.528,2459.165,2467.704,66414285
2011/11/18,2416.562,2448.51,2411.042,2448.387,72180807
2011/11/21,2415.13,2419.244,2396.087,2416.732,50170366
2011/11/22,2412.625,2414.85,2387.826,2400.984,51443233
2011/11/23,2395.065,2418.56,2390.654,2415.197,50547850
2011/11/24,2397.554,2409.719,2370.695,2379.146,52154150
2011/11/25,2380.224,2403.942,2372.622,2393.327,45362552
2011/11/28,2383.034,2396.827,2372.156,2383.893,46064666
2011/11/29,2412.393,2413.326,2388.202,2398.994,55123190
2011/11/30,2333.414,2407.326,2319.44,2406.329,76611104
2011/12/1,2386.86,2423.559,2376.916,2392.485,98650046
2011/12/2,2360.664,2378.299,2344.846,2374.899,59868845
2011/12/5,2333.229,2363.127,2327.61,2363.111,52214969
2011/12/6,2325.905,2331.892,2310.155,2326.66,45917077
2011/12/7,2332.73,2339.847,2317.814,2325.562,41570306
2011/12/8,2329.82,2346.654,2302.642,2329.911,51473520
2011/12/9,2315.27,2331.259,2309.457,2315.513,39988559
2011/12/12,2291.545,2315.811,2290.264,2312.151,39632578
2011/12/13,2248.59,2285.814,2245.868,2283.223,58627478
2011/12/14,2228.525,2256.744,2224.725,2241.387,44079822
2011/12/15,2180.895,2216.909,2179.467,2215.792,56712186
2011/12/16,2224.84,2225.538,2170.748,2179.509,57265903
2011/12/19,2218.235,2221.448,2164.887,2208.071,57818464
2011/12/20,2215.93,2239.859,2206.519,2209.699,52761113
2011/12/21,2191.148,2237.466,2188.71,2230.18,50877262
2011/12/22,2186.297,2201.587,2149.423,2178.572,58986117
2011/12/23,2204.784,2219.786,2178.141,2183.911,52421325
2011/12/26,2190.11,2213.453,2186.07,2193.659,43613663
2011/12/27,2166.205,2196.973,2162.723,2186.709,45712179
2011/12/28,2170.013,2170.672,2134.017,2157.65,49633435
2011/12/29,2173.561,2181.955,2157.115,2161.184,44749200
2011/12/30,2199.417,2200.988,2177.517,2177.517,51943838
2012/1/4,2169.39,2217.52,2168.644,2211.995,49245537
2012/1/5,2148.452,2183.404,2145.556,2160.898,58743447
2012/1/6,2163.395,2164.322,2132.626,2148.147,50583054
2012/1/9,2225.89,2226.218,2148.453,2164.741,76759839
2012/1/10,2285.744,2288.628,2218.275,2221.832,109585415
2012/1/11,2276.046,2290.644,2265.185,2282.913,84441781
2012/1/12,2275.01,2295.224,2265.256,2268.739,71569994
2012/1/13,2244.58,2281.532,2225.736,2277.08,71474322
2012/1/16,2206.193,2241.259,2206.045,2230.433,45859522
2012/1/17,2298.376,2298.376,2196.117,2206.531,87803560
2012/1/18,2266.384,2311.579,2257.898,2298.834,89940422
2012/1/19,2296.075,2305.707,2259.337,2266.076,72498861
2012/1/20,2319.118,2322.891,2293.893,2300.5,69922753
2012/1/30,2285.038,2324.493,2284.291,2324.493,58413687
2012/1/31,2292.61,2296.384,2277.056,2285.954,48738325
2012/2/1,2268.08,2305.863,2263.342,2288.066,53553811
2012/2/2,2312.556,2312.556,2268.687,2273.85,63471872
2012/2/3,2330.405,2336.267,2300.982,2306.656,78943697
2012/2/6,2331.136,2341.575,2317.422,2334.248,75734477
2012/2/7,2291.902,2319.708,2278.825,2319.421,67326906
2012/2/8,2347.53,2350.965,2286.819,2291.812,87114528
2012/2/9,2349.589,2363.613,2333.935,2344.224,98032325
2012/2/10,2351.981,2368.979,2339.885,2342.011,96501619
2012/2/13,2351.855,2365.339,2325.028,2332.055,86263585
2012/2/14,2344.771,2352.469,2332.247,2348.877,73130413
2012/2/15,2366.702,2374.282,2335.101,2340.455,98861021
2012/2/16,2356.86,2373.804,2342.073,2363.897,95051169
2012/2/17,2357.181,2372.512,2344.76,2366.63,71924839
2012/2/20,2363.597,2388.009,2362.012,2383.686,88911586
2012/2/21,2381.43,2382.146,2345.053,2365.487,79348669
2012/2/22,2403.587,2404.442,2374.03,2380.504,118684269
2012/2/23,2409.554,2416.805,2396.71,2401.738,112553593
2012/2/24,2439.628,2439.977,2405.274,2410.881,134903249
2012/2/27,2447.057,2478.375,2444.629,2447.406,158073244
2012/2/28,2451.857,2458.651,2431.828,2440.914,118361993
2012/2/29,2428.487,2453.067,2426.329,2446.228,95536952
2012/3/1,2426.115,2437.874,2418.334,2418.788,75083289
2012/3/2,2460.693,2461.121,2430.098,2430.098,103228378
2012/3/5,2445.002,2469.841,2442.115,2464.849,112693326
2012/3/6,2410.445,2442.001,2406.056,2439.779,103709012
2012/3/7,2394.794,2413.695,2388.519,2391.203,94790636
2012/3/8,2420.276,2426.698,2401.102,2401.102,96782134
2012/3/9,2439.462,2440.511,2414.966,2425.885,100624055
2012/3/12,2434.859,2440.857,2420.84,2438.546,106223059
2012/3/13,2455.795,2457.22,2428.609,2432.843,104649712
2012/3/14,2391.23,2476.216,2382.836,2464.915,179786029
2012/3/15,2373.774,2403.742,2366.024,2388.063,120025499
2012/3/16,2404.736,2406.148,2368.311,2377.757,103675622
2012/3/19,2410.184,2412.336,2383.674,2401.217,102153490
2012/3/20,2376.839,2407.542,2376.031,2407.542,97903935
2012/3/21,2378.195,2396.722,2361.222,2384.709,95686538
2012/3/22,2375.772,2386.099,2364.13,2376.991,79348880
2012/3/23,2349.539,2371.263,2342.12,2369.077,76862139
2012/3/26,2350.599,2357.996,2339.141,2349.086,55427733
2012/3/27,2347.179,2363.766,2344.304,2358.545,60881116
2012/3/28,2284.881,2341.42,2281.433,2341.003,83645283
2012/3/29,2252.16,2280.958,2242.345,2276.74,74248084
2012/3/30,2262.788,2266.208,2246.245,2256.042,62024147
2012/4/5,2302.241,2303.824,2251.393,2258.031,80101456
2012/4/6,2306.553,2309.64,2291.559,2299.055,72136521
2012/4/9,2285.777,2304.65,2284.442,2300.051,59760639
2012/4/10,2305.863,2306.387,2258.853,2281.024,67345526
2012/4/11,2308.925,2319.053,2280.035,2286.716,75130070
2012/4/12,2350.864,2351.055,2307.841,2310.484,97687895
2012/4/13,2359.161,2369.701,2346.944,2351.513,98774414
2012/4/16,2357.026,2364.111,2342.199,2346.307,85322682
2012/4/17,2334.985,2363.013,2333.341,2355.369,84688445
2012/4/18,2380.848,2383.64,2337.857,2341.135,108612544
2012/4/19,2378.634,2386.978,2369.459,2378.632,94272421
2012/4/20,2406.863,2407.294,2372.13,2374.662,115522062
2012/4/23,2388.588,2411.51,2383.068,2403.521,122907558
2012/4/24,2388.834,2415.749,2350.399,2380.236,133722354
2012/4/25,2406.813,2411.421,2376.626,2382.211,130972867
2012/4/26,2404.697,2414.754,2393.265,2408.558,115529587
2012/4/27,2396.316,2408.42,2393.867,2402.431,91228350
2012/5/2,2438.436,2446.35,2407.788,2421.082,128006006
2012/5/3,2440.08,2441.953,2427.728,2433.589,102248493
2012/5/4,2452.014,2453.731,2427.969,2437.465,102204871
2012/5/7,2451.947,2451.947,2432.736,2441.757,108830107
2012/5/8,2448.884,2451.598,2431.025,2451.575,104855537
2012/5/9,2408.587,2432.472,2407.509,2432.472,97902212
2012/5/10,2410.23,2419.121,2402.204,2409.945,81698471
2012/5/11,2394.983,2415.977,2393.378,2406.074,74863995
2012/5/14,2380.725,2411.272,2377.983,2408.262,90526339
2012/5/15,2374.843,2376.594,2354.614,2367.083,77922916
2012/5/16,2346.192,2372.032,2344.5,2369.295,76733829
2012/5/17,2378.886,2383.306,2342.352,2347.177,86870030
2012/5/18,2344.52,2369.598,2338.241,2364.899,89689419
2012/5/21,2348.3,2360.386,2330.325,2343.576,74840341
2012/5/22,2373.307,2374.056,2354.868,2355.732,76779780
2012/5/23,2363.437,2378.077,2350.548,2369.265,84216580
2012/5/24,2350.973,2373.057,2344.58,2359.682,79206805
2012/5/25,2333.553,2355.808,2327.408,2350.541,74019252
2012/5/28,2361.367,2361.744,2309.072,2325.317,94962105
2012/5/29,2389.636,2393.279,2358.374,2361.003,117157725
2012/5/30,2384.668,2391.691,2378.133,2385.392,89809793
2012/5/31,2372.234,2382.989,2362.314,2370.007,77890228
2012/6/1,2373.436,2388.087,2365.442,2373.224,77021923
2012/6/4,2308.55,2348.199,2308.229,2346.984,90179347
2012/6/5,2311.916,2323.298,2304.046,2313.741,66078528
2012/6/6,2309.555,2323.113,2301.035,2315.561,58532028
2012/6/7,2293.13,2328.672,2288.665,2324.672,60232048
2012/6/8,2281.447,2306.882,2276.714,2306.219,67924641
2012/6/11,2305.856,2311.772,2278.163,2282.891,64197967
2012/6/12,2289.791,2298.95,2280.951,2295.07,59941982
2012/6/13,2318.924,2319.714,2284.65,2289.707,78454349
2012/6/14,2295.946,2314.585,2293.065,2306.781,71633722
2012/6/15,2306.85,2314.242,2283.4,2299.781,68687579
2012/6/18,2316.052,2325.052,2309.709,2313.53,60594622
2012/6/19,2300.795,2313.455,2298.394,2313.455,60135905
2012/6/20,2292.877,2304.458,2291.541,2300.406,54103955
2012/6/21,2260.877,2288.454,2253.789,2288.454,58992012
2012/6/25,2224.114,2253.514,2223.054,2253.514,59768952
2012/6/26,2222.067,2229.24,2203.944,2214.649,52940798
2012/6/27,2216.934,2233.543,2213.323,2219.944,51049128
2012/6/28,2195.843,2224.155,2195.356,2220.236,54182183
2012/6/29,2225.431,2226.485,2188.716,2190.576,61441886
2012/7/2,2226.11,2234.873,2215.358,2234.32,62196207
2012/7/3,2229.193,2244.832,2219.05,2225.568,62703021
2012/7/4,2227.315,2239.27,2219.448,2233.335,55273656
2012/7/5,2201.353,2218.216,2192.648,2218.216,57967934
2012/7/6,2223.579,2227.473,2185.522,2203.73,76557917
2012/7/9,2170.814,2216.697,2168.608,2210.714,75111472
2012/7/10,2164.437,2178.195,2156.726,2166.947,58993972
2012/7/11,2175.383,2176.491,2156.596,2160.02,58614472
2012/7/12,2185.491,2197.044,2152.675,2172.064,82133762
2012/7/13,2185.895,2198.661,2177.924,2180.172,57546838
2012/7/16,2147.955,2188.063,2146.154,2187.887,67487681
2012/7/17,2161.186,2165.335,2141.481,2142.43,55184408
2012/7/18,2169.099,2170.296,2138.792,2159.857,66552659
2012/7/19,2184.841,2197.79,2159.943,2164.274,79338049
2012/7/20,2168.638,2185.733,2162.064,2180.012,64346672
2012/7/23,2141.402,2154.171,2135.563,2154.171,55677081
2012/7/24,2146.589,2158.948,2131.013,2132.317,54411286
2012/7/25,2136.151,2151.45,2132.833,2141.036,48575894
2012/7/26,2126.004,2147.664,2124.155,2134.987,52884076
2012/7/27,2128.765,2139.154,2120.63,2132.009,52076920
2012/7/30,2109.914,2137.736,2107.634,2128.159,51992383
2012/7/31,2103.634,2116.904,2100.252,2109.325,53456097
2012/8/1,2123.36,2130.712,2101.708,2101.723,53804602
2012/8/2,2111.182,2126.46,2103.495,2120.146,53467539
2012/8/3,2132.796,2133.266,2108.33,2113.964,53371329
2012/8/6,2154.916,2158.681,2127.263,2129.148,71843204
2012/8/7,2157.62,2159.683,2148.897,2153.093,75049798
2012/8/8,2160.99,2168.734,2153.02,2158.982,72869536
2012/8/9,2174.102,2175.545,2148.694,2159.434,72529246
2012/8/10,2168.814,2176.795,2165.284,2172.964,68368559
2012/8/13,2136.078,2164.043,2134.554,2164.043,71352322
2012/8/14,2142.525,2144.006,2119.253,2137.047,67571589
2012/8/15,2118.945,2139.142,2118.503,2138.278,54609394
2012/8/16,2112.197,2122.683,2109.658,2116.08,45173009
2012/8/17,2114.891,2120.714,2100.787,2111.653,44390634
2012/8/20,2106.957,2110.78,2089.018,2102.231,46717499
2012/8/21,2118.268,2124.195,2103.071,2106.381,60756505
2012/8/22,2107.711,2121.149,2097.605,2118.881,58441412
2012/8/23,2113.072,2118.736,2097.083,2106.96,58472299
